marque,modele_version,cnit,unnamed:_4,unnamed:_5,mine,carburant,puissance_fiscale,puissance_reelle,bv,urb,ex_urb,mixte,co2
ALFA-ROMEO,147 3P 1.6TS (105ch),MAL1301JL265,1301JL265,1301J265,937AXA1A00,ES,7,77.0,M 5,11.1,6.3,8.1,192.0
ALFA-ROMEO,147 3P 1.6TS (105ch),MAL1301JP330,1301JP330,1301J330,937AXA1A00B,ES,7,77.0,M 5,11.3,6.4,8.2,196.0
ALFA-ROMEO,147 5P 1.6TS (105ch),MAL1302JY276,1302JY276,1302J276,937BXA1A05,ES,7,77.0,M 5,11.1,6.3,8.1,192.0
ALFA-ROMEO,147 5P 1.6TS (105ch),MAL1302JU333,1302JU333,1302J333,937BXA1A05B,ES,7,77.0,M 5,11.3,6.4,8.2,196.0
ALFA-ROMEO,147 3P 1.6TS (120ch),MAL1401JW266,1401JW266,1401J266,937AXB1A01,ES,8,88.0,M 5,11.2,6.4,8.2,194.0
ALFA-ROMEO,147 5P 1.6TS (120ch),MAL1402J9277,1402J9277,1402J277,937BXB1A06,ES,8,88.0,M 5,11.2,6.4,8.2,194.0
ALFA-ROMEO,147 3P 2.0 SELESPEED,MAL1601JH267,1601JH267,1601J267,937AXC1102,ES,10,110.0,M 5,12.1,7.0,8.9,211.0
ALFA-ROMEO,147 3P 2.0 SELESPEED,MAL1601JK331,1601JK331,1601J331,937AXC1102B,ES,10,110.0,M 5,12.1,7.0,8.9,211.0
ALFA-ROMEO,147 3P 2.0TS,MAL1601JJ268,1601JJ268,1601J268,937AXC1A03,ES,10,110.0,M 5,12.1,7.0,8.9,211.0
ALFA-ROMEO,147 3P 2.0TS,MAL1601JL332,1601JL332,1601J332,937AXC1A03B,ES,10,110.0,M 5,12.1,7.0,8.9,211.0
ALFA-ROMEO,147 5P 2.0 SELESPEED,MAL1602JU278,1602JU278,1602J278,937BXC1107,ES,10,110.0,M 5,12.1,7.0,8.9,211.0
ALFA-ROMEO,147 5P 2.0 SELESPEED,MAL1602JP334,1602JP334,1602J334,937BXC1107B,ES,10,110.0,M 5,12.1,7.0,8.9,211.0
ALFA-ROMEO,147 5P 2.0 SELESPEED,MAL1602JV279,1602JV279,1602J279,937BXC1A09,ES,10,110.0,M 5,12.1,7.0,8.9,211.0
ALFA-ROMEO,147 5P 2.0 SELESPEED,MAL1602JQ335,1602JQ335,1602J335,937BXC1A09B,ES,10,110.0,M 5,12.1,7.0,8.9,211.0
ALFA-ROMEO,147 GTA,MAL1901JS345,1901JS345,1901J345,937AXL1B16,ES,18,184.0,M 6,18.1,8.6,12.1,287.0
ALFA-ROMEO,147 3P 1.9JTD,MAL5401JG274,5401JG274,5401J274,937AXD1A04,GO,7,85.0,M 5,7.8,4.7,5.8,155.0
