marque,modele_version,cnit,mine,energie,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,immat
ALFA-ROMEO,147 3P 1.6TS (105ch),MAL1301JL265,937AXA1A00,ES,7,77.0,M 5,11.1,6.3,8.1,192.0,2003-03-01
ALFA-ROMEO,147 3P 1.6TS (105ch),MAL1301JE355,937AXA1A00C,ES,7,77.0,M 5,11.1,6.3,8.1,192.0,2003-03-01
ALFA-ROMEO,147 3P 1.6TS (120ch),MAL1401JW266,937AXB1A01,ES,8,88.0,M 5,11.2,6.4,8.2,194.0,2003-03-01
ALFA-ROMEO,147 3P 1.6TS (120ch),MAL1401JQ357,937AXB1A01C,ES,8,88.0,M 5,11.2,6.4,8.2,194.0,2003-03-01
ALFA-ROMEO,147 3P 1.9JTD,MAL5401JG274,937AXD1A04,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,2003-03-01
ALFA-ROMEO,147 3P 1.9JTD,MAL5401J8363,937AXD1A04B,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,2003-03-01
ALFA-ROMEO,147 3P 1.9JTD (100ch),MAL5301JC377,937AXF1A18B,GO,6,74.0,M 5,7.8,4.7,5.8,155.0,2003-03-01
ALFA-ROMEO,147 3P 1.9JTD (140ch) PROGRESSION,MAL5601J2373,937AXG1B10B,GO,8,103.0,M 6,8.0,4.7,5.9,157.0,2003-03-01
ALFA-ROMEO,147 3P 2.0 SELESPEED,MAL1601JH267,937AXC1102,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,2003-03-01
ALFA-ROMEO,147 3P 2.0 SELESPEED,MAL1601JC359,937AXC1102C,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,2003-03-01
ALFA-ROMEO,147 3P 2.0TS,MAL1601JJ268,937AXC1A03,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,2003-03-01
ALFA-ROMEO,147 3P 2.0TS,MAL1601JE361,937AXC1A03C,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,2003-03-01
ALFA-ROMEO,147 5P 1.6TS (105ch),MAL1302JY276,937BXA1A05,ES,7,77.0,M 5,11.1,6.3,8.1,192.0,2003-03-01
ALFA-ROMEO,147 5P 1.6TS (105ch),MAL1302JP364,937BXA1A05C,ES,7,77.0,M 5,11.1,6.3,8.1,192.0,2003-03-01
ALFA-ROMEO,147 5P 1.6TS (120ch),MAL1402J9277,937BXB1A06,ES,8,88.0,M 5,11.2,6.4,8.2,194.0,2003-03-01
ALFA-ROMEO,147 5P 1.6TS (120ch),MAL1402J1366,937BXB1A06C,ES,8,88.0,M 5,11.2,6.4,8.2,194.0,2003-03-01
ALFA-ROMEO,147 5P 1.9JTD,MAL5402JJ275,937BXD1A08,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,2003-03-01
ALFA-ROMEO,147 5P 1.9JTD,MAL5402JH370,937BXD1A08B,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,2003-03-01
ALFA-ROMEO,147 5P 1.9JTD (100ch),MAL5302JF378,937BXF1A19B,GO,6,74.0,M 5,7.8,4.7,5.8,155.0,2003-03-01
ALFA-ROMEO,147 5P 1.9JTD (140ch) DISTINCTIVE,MAL5602J7340,937BXG1B11,GO,8,103.0,M 6,8.0,4.7,5.9,157.0,2003-03-01
ALFA-ROMEO,147 5P 1.9JTD (140ch) DISTINCTIVE,MAL5602J5374,937BXG1B11B,GO,8,103.0,M 6,8.0,4.7,5.9,157.0,2003-03-01
ALFA-ROMEO,147 5P 2.0 SELESPEED,MAL1602JU278,937BXC1107,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,2003-03-01
ALFA-ROMEO,147 5P 2.0 SELESPEED,MAL1602JN368,937BXC1107C,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,2003-03-01
ALFA-ROMEO,147 5P 2.0 SELESPEED,MAL1602JV279,937BXC1A09,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,2003-03-01
ALFA-ROMEO,147 5P 2.0 SELESPEED,MAL1602JQ371,937BXC1A09C,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,2003-03-01
ALFA-ROMEO,147 GTA,MAL1901JS345,937AXL1B16,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,2003-03-01
ALFA-ROMEO,147 GTA,MAL1901JM375,937AXL1B16B,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,2003-03-01
ALFA-ROMEO,156 1.6L TS PROGRESSIVE,MAL1402E5303,932A410031C,ES,8,88.0,M 5,11.4,6.4,8.2,195.0,2003-03-01
ALFA-ROMEO,156 1.6L TS PROGRESSIVE,MAL1402EF385,932A410031E,ES,8,88.0,M 5,11.4,6.4,8.2,195.0,2003-03-01
ALFA-ROMEO,156 1.6L TS PROGRESSIVE,MAL1402E6304,932A4B0032C,ES,7,81.0,M 5,11.4,6.4,8.2,195.0,2003-03-01
ALFA-ROMEO,156 1.6L TS PROGRESSIVE,MAL1402EH387,932A4B0032D,ES,7,81.0,M 5,11.4,6.4,8.2,195.0,2003-03-01
ALFA-ROMEO,156 1.8L TS PROGRESSIVE,MAL1602EP302,932A310030C,ES,9,103.0,M 5,12.1,6.4,8.5,202.0,2003-03-01
ALFA-ROMEO,156 1.8L TS PROGRESSIVE,MAL1602EX383,932A310030E,ES,9,103.0,M 5,12.1,6.4,8.5,202.0,2003-03-01
ALFA-ROMEO,156 1.9JTD,MAL5402EF301,932A2C0044C,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,2003-03-01
ALFA-ROMEO,156 1.9JTD,MAL5402E5388,932A2C0044D,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,2003-03-01
ALFA-ROMEO,156 1.9JTD (140ch) PROGRESSION,MAL5602E5343,932AXE0060,GO,8,103.0,M 6,8.0,4.7,5.9,157.0,2003-03-01
ALFA-ROMEO,156 1.9JTD (140ch) PROGRESSION,MAL5602EV394,932AXE0060B,GO,8,103.0,M 6,8.0,4.7,5.9,157.0,2003-03-01
ALFA-ROMEO,156 2.0JTS DISTINCTIVE,MAL1702EF319,932AXA0052,ES,11,122.0,M 5,12.2,6.6,8.6,205.0,2003-03-01
ALFA-ROMEO,156 2.0JTS DISTINCTIVE,MAL1702EP390,932AXA0052B,ES,11,122.0,M 5,12.2,6.6,8.6,205.0,2003-03-01
ALFA-ROMEO,156 2.0JTS PROGRESSIVE,MAL1702EJ323,932AXD0056,ES,10,119.0,M 5,12.2,6.6,8.6,205.0,2003-03-01
ALFA-ROMEO,156 2.0JTS PROGRESSIVE,MAL1702ER392,932AXD0056B,ES,10,119.0,M 5,12.2,6.6,8.6,205.0,2003-03-01
