marque,modele_version,mine,cnit,carburant,puissance_fiscale,puissance_reelle,bv,urb,ex_urb,mixte,co2,mois_annee
alfa-romeo,147_3p_1.6l_ts_(105ch),mal1301jz595,937axa1a00h,es,7,77.0,m_5,11.3,6.4,8.2,196.0,janvier_2006
ALFA-ROMEO,147 3P 1.6L TS (120ch),MAL1401JB597,937AXB1A01H,ES,8,88.0,M 5,11.2,6.4,8.2,194.0,Janvier 2006
ALFA-ROMEO,147 3P 2.0L SELESPEED,MAL1601JX599,937AXC1102H,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,Janvier 2006
ALFA-ROMEO,147 3P 2.0L TS,MAL1601JZ601,937AXC1A03H,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,Janvier 2006
ALFA-ROMEO,147 3P JTD (120ch) M-JET,MAL5401JH627,937AXU1A32,GO,7,88.0,M 5,7.8,4.7,5.8,153.0,Janvier 2006
ALFA-ROMEO,147 3P JTD (150ch) M-JET,MAL5601J0626,937AXN1B30B,GO,9,110.0,M 6,8.0,4.7,5.9,157.0,Janvier 2006
ALFA-ROMEO,147 5P 1.6TS (105ch),MAL1302JD607,937BXA1A05H,ES,7,77.0,M 5,11.3,6.4,8.2,196.0,Janvier 2006
ALFA-ROMEO,147 5P 1.6TS (120ch),MAL1402JP609,937BXB1A06H,ES,8,88.0,M 5,11.2,6.4,8.2,194.0,Janvier 2006
ALFA-ROMEO,147 5P 2.0L,MAL1602JD613,937BXC1A09H,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,Janvier 2006
ALFA-ROMEO,147 5P 2.0L SELESPEED,MAL1602JB611,937BXC1107H,ES,10,110.0,M 5,12.1,7.0,8.9,211.0,Janvier 2006
ALFA-ROMEO,147 5P JTD (120ch) M-JET,MAL5402JL629,937BXU1A33,GO,7,88.0,M 5,7.8,4.7,5.8,153.0,Janvier 2006
ALFA-ROMEO,147 5P JTD (150ch) M-JET,MAL5602J4628,937BXN1B31B,GO,9,110.0,M 6,8.0,4.7,5.9,157.0,Janvier 2006
ALFA-ROMEO,147 GTA,MAL1901JL532,937AXL1B16E,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,Janvier 2006
ALFA-ROMEO,147 GTA SELESPEED,MAL1901JJ530,937AXL1117E,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,Janvier 2006
ALFA-ROMEO,156 1.6L TS,MAL1402EP553,932A410031M,ES,8,88.0,M 5,11.4,6.4,8.2,195.0,Janvier 2006
ALFA-ROMEO,156 1.8L TS,MAL1602E7551,932A310030M,ES,9,103.0,M 5,12.1,6.4,8.5,202.0,Janvier 2006
ALFA-ROMEO,156 1.9 JTD (115ch),MAL5402EX549,932A2C0044G,GO,7,85.0,M 5,7.8,4.7,5.8,155.0,Janvier 2006
ALFA-ROMEO,156 1.9 JTD (126ch),MAL5502EJ561,932AXG0062D,GO,7,93.0,M 6,8.0,4.7,5.9,157.0,Janvier 2006
ALFA-ROMEO,156 1.9 JTD (150ch),MAL5602EW589,932AXN0071,GO,9,110.0,M 6,8.0,4.7,5.9,157.0,Janvier 2006
ALFA-ROMEO,156 2.0L JTS,MAL1702EL555,932AXA0052E,ES,11,122.0,M 5,12.2,6.6,8.6,205.0,Janvier 2006
ALFA-ROMEO,156 2.0L JTS SELESPEED,MAL1702EN557,932AXA0154E,ES,11,122.0,M 5,12.2,6.6,8.6,205.0,Janvier 2006
ALFA-ROMEO,156 2.4 JTD (175ch),MAL5702E2560,932AXF0064B,GO,10,129.0,M 6,8.8,5.3,6.6,175.0,Janvier 2006
ALFA-ROMEO,156 GTA,MAL1902EC587,932AXB0046D,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,Janvier 2006
ALFA-ROMEO,156 GTA SELESPEED,MAL1902ED588,932AXB0148D,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,Janvier 2006
ALFA-ROMEO,156 SW 1.6L TS,MAL1404E8568,932B410038L,ES,8,88.0,M 5,11.5,6.5,8.3,198.0,Janvier 2006
ALFA-ROMEO,156 SW 1.8L TS,MAL1604EQ566,932B310037L,ES,9,103.0,M 5,12.2,6.5,8.6,205.0,Janvier 2006
ALFA-ROMEO,156 SW 1.9 JTD (115ch),MAL5404EG564,932B2C0045F,GO,7,85.0,M 5,7.9,4.9,6.0,160.0,Janvier 2006
ALFA-ROMEO,156 SW 1.9 JTD (126ch),MAL5504E3577,932BXG0063D,GO,7,93.0,M 6,8.2,4.8,6.1,161.0,Janvier 2006
ALFA-ROMEO,156 SW 1.9 JTD (150ch),MAL5604E3592,932BXN0072,GO,9,110.0,M 6,8.2,4.8,6.1,161.0,Janvier 2006
ALFA-ROMEO,156 SW 2.0L JTS,MAL1704E4570,932BXA0053E,ES,11,122.0,M 5,12.5,6.8,8.9,212.0,Janvier 2006
ALFA-ROMEO,156 SW 2.0L JTS SELESPEED,MAL1704E6572,932BXA0155E,ES,11,122.0,M 5,12.5,6.8,8.9,212.0,Janvier 2006
ALFA-ROMEO,156 SW 2.4 JTD (175ch),MAL5704EL575,932BXF0065C,GO,10,129.0,M 6,8.9,5.5,6.7,178.0,Janvier 2006
ALFA-ROMEO,156 SW CROSSWAGON Q4,MAL6604L7586,932BXN2070B,GO,9,110.0,M 6,9.3,5.8,7.1,188.0,Janvier 2006
ALFA-ROMEO,156 SW GTA,MAL1904EJ590,932BXB0047D,ES,18,184.0,M 6,18.4,8.8,12.3,293.0,Janvier 2006
ALFA-ROMEO,156 SW GTA SELESPEED,MAL1904EK591,932BXB0149D,ES,18,184.0,M 6,18.4,8.8,12.3,293.0,Janvier 2006
ALFA-ROMEO,156 SW Q4,MAL6604E7593,932BXN2070,GO,9,110.0,M 6,8.9,5.6,6.8,181.0,Janvier 2006
ALFA-ROMEO,159 1.9 JTD (120ch),MAL5402MK625,939AXE1B04,GO,7,88.0,M 6,7.8,4.9,5.9,157.0,Janvier 2006
ALFA-ROMEO,159 1.9 JTD (150ch),MAL5602M1622,939AXC1B01,GO,9,110.0,M 6,8.1,4.8,6.0,159.0,Janvier 2006
ALFA-ROMEO,159 1.9L JTS,MAL1702MY621,939AXA1B00,ES,10,118.0,M 6,12.2,6.6,8.7,205.0,Janvier 2006
ALFA-ROMEO,159 2.2L JTS,MAL1802MB624,939AXB1B03,ES,12,136.0,M 6,13.0,7.3,9.4,221.0,Janvier 2006
ALFA-ROMEO,159 2.4JTD,MAL5802MM623,939AXD1B02,GO,12,147.0,M 6,9.2,5.4,6.8,179.0,Janvier 2006
ALFA-ROMEO,159 3.2L V6 JTS Q4,MAL2902MY634,939AXG2B09,ES,18,191.0,M 6,16.9,8.4,11.5,273.0,Janvier 2006
ALFA-ROMEO,166 2.0L TS,MAL1602G2580,936A3B0014D,ES,10,110.0,M 6,13.8,7.3,9.7,230.0,Janvier 2006
ALFA-ROMEO,166 2.4 JTD (150ch),MAL5602GF581,936AXA0016D,GO,9,110.0,M 6,10.4,5.8,7.5,199.0,Janvier 2006
ALFA-ROMEO,166 2.4 JTD (175ch),MAL5702G2583,936AXC0018B,GO,11,129.0,M 6,9.9,6.1,7.5,198.0,Janvier 2006
ALFA-ROMEO,166 2.4 JTD (175ch) SPORTRONIC,MAL7702G9584,936AXD0119B,GO,12,129.0,A 5,12.1,6.9,8.9,235.0,Janvier 2006
ALFA-ROMEO,166 3.0L V6 SPORTRONIC,MAL3902GB578,936A110112D,ES,16,162.0,A 4,19.4,9.3,13.0,310.0,Janvier 2006
ALFA-ROMEO,166 3.2L V6,MAL1902G9582,936AXB0017B,ES,17,176.5,M 6,18.3,9.1,12.5,297.0,Janvier 2006
ALFA-ROMEO,GT 1.8L,MAL1601K6510,937CXR1A26,ES,9,103.0,M 5,12.1,6.4,8.5,202.0,Janvier 2006
ALFA-ROMEO,GT COUPE 2.0L JTS,MAL1701K6500,937CXH1A22,ES,11,122.0,M 5,12.2,6.7,8.7,207.0,Janvier 2006
ALFA-ROMEO,GT COUPE 2.0L JTS SELESPEED,MAL1701K5499,937CXH1123,ES,11,122.0,M 5,12.2,6.7,8.7,207.0,Janvier 2006
ALFA-ROMEO,GT COUPE 3.2L,MAL1901KS502,937CXP1B25,ES,17,176.5,M 6,18.6,8.7,12.4,295.0,Janvier 2006
ALFA-ROMEO,GT COUPE JTD (150ch) M JET,MAL5601K5630,937CXN1B24C,GO,9,110.0,M 6,8.5,4.9,6.2,165.0,Janvier 2006
ALFA-ROMEO,GTV 2.0L JTS,MAL1701H0436,916CXA0036,ES,11,122.0,M 5,13.3,6.8,9.2,220.0,Janvier 2006
ALFA-ROMEO,GTV 2.0L TS,MAL1601HP435,916C2C0035D,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,Janvier 2006
ALFA-ROMEO,GTV 3.2L V6 24V,MAL1901HM438,916CXB0038,ES,18,176.5,M 6,19.9,9.3,13.2,315.0,Janvier 2006
ALFA-ROMEO,SPIDER 2.0L JTS,MAL1705FB441,916SXA0037B,ES,11,122.0,M 5,13.3,6.8,9.2,220.0,Janvier 2006
ALFA-ROMEO,SPIDER 2.0L TS,MAL1605F0440,916S2C0034E,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,Janvier 2006
