marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie
ALFA-ROMEO,147 3P 1.6L TS (105ch),MAL1301JZ595,7,77.0,M 5,11.3,6.4,8.2,196,ES,E
ALFA-ROMEO,147 3P 1.6L TS (120ch),MAL1401JB597,8,88.0,M 5,11.2,6.4,8.2,194,ES,E
ALFA-ROMEO,147 3P 2.0L SELESPEED,MAL1601JX599,10,110.0,M 5,12.1,7.0,8.9,211,ES,F
ALFA-ROMEO,147 3P 2.0L TS,MAL1601JZ601,10,110.0,M 5,12.1,7.0,8.9,211,ES,F
ALFA-ROMEO,147 3P JTD (120ch) M-JET,MAL5401JH627,7,88.0,M 5,7.8,4.7,5.8,153,GO,D
ALFA-ROMEO,147 3P JTD (120ch) M-JET,MAL5401JM668,7,88.0,M 5,7.8,4.7,5.8,153,GO,D
ALFA-ROMEO,147 3P JTD (150ch) M-JET,MAL5601J0626,9,110.0,M 6,8.0,4.7,5.9,157,GO,D
ALFA-ROMEO,147 3P JTD (150ch) M-JET,MAL5601J5667,9,110.0,M 6,8.0,4.7,5.9,157,GO,D
ALFA-ROMEO,147 5P 1.6TS (105ch),MAL1302JD607,7,77.0,M 5,11.3,6.4,8.2,196,ES,E
ALFA-ROMEO,147 5P 1.6TS (120ch),MAL1402JP609,8,88.0,M 5,11.2,6.4,8.2,194,ES,E
ALFA-ROMEO,147 5P 2.0L,MAL1602JD613,10,110.0,M 5,12.1,7.0,8.9,211,ES,F
ALFA-ROMEO,147 5P 2.0L SELESPEED,MAL1602JB611,10,110.0,M 5,12.1,7.0,8.9,211,ES,F
ALFA-ROMEO,147 5P JTD (120ch) M-JET,MAL5402JL629,7,88.0,M 5,7.8,4.7,5.8,153,GO,D
ALFA-ROMEO,147 5P JTD (120ch) M-JET,MAL5402JQ670,7,88.0,M 5,7.8,4.7,5.8,153,GO,D
ALFA-ROMEO,147 5P JTD (150ch) M-JET,MAL5602J4628,9,110.0,M 6,8.0,4.7,5.9,157,GO,D
ALFA-ROMEO,147 5P JTD (150ch) M-JET,MAL5602J9669,9,110.0,M 6,8.0,4.7,5.9,157,GO,D
ALFA-ROMEO,159 1.9 JTD (120ch),MAL5402MK625,7,88.0,M 6,7.8,4.9,5.9,157,GO,D
ALFA-ROMEO,159 1.9 JTD (150ch),MAL5602M1622,9,110.0,M 6,8.1,4.8,6.0,159,GO,D
ALFA-ROMEO,159 1.9 JTD (150ch) Qtronic,MAL7602MN674,9,110.0,A 6,9.9,5.5,7.1,187,GO,E
ALFA-ROMEO,159 1.9L JTS,MAL1702MY621,10,118.0,M 6,12.2,6.6,8.7,205,ES,F
ALFA-ROMEO,159 2.2L JTS,MAL1802MB624,12,136.0,M 6,13.0,7.3,9.4,221,ES,F
ALFA-ROMEO,159 2.2L JTS SELESPEED,MAL1802M7681,12,136.0,M 6,12.8,7.1,9.2,217,ES,F
ALFA-ROMEO,159 2.4 JTD M-JET 210,MAL6902MU704,13,154.0,M 6,10.0,6.0,7.5,197,GO,E
ALFA-ROMEO,159 2.4JTD,MAL5802MM623,12,147.0,M 6,9.2,5.4,6.8,179,GO,E
ALFA-ROMEO,159 2.4JTD Qtronic,MAL7802MJ675,13,147.0,A 6,11.6,5.9,8.0,210,GO,F
ALFA-ROMEO,159 3.2L V6 JTS Q4,MAL2902MY634,18,191.0,M 6,16.9,8.4,11.5,273,ES,G
ALFA-ROMEO,159 3.2L V6 JTS Q4 Qtronic,MAL4902M2682,19,191.0,A 6,18.4,8.6,12.2,289,ES,G
ALFA-ROMEO,159 SW 1.8L MPI,MAL1604MQ680,9,103.0,M 5,10.7,6.3,7.9,187,ES,E
ALFA-ROMEO,159 SW 1.9 JTD (120ch) M-JET,MAL5404M5642,7,88.0,M 6,7.9,4.9,6.0,159,GO,D
ALFA-ROMEO,159 SW 1.9 JTD (150ch) M-JET,MAL5604MN640,9,110.0,M 6,8.3,4.8,6.1,162,GO,E
ALFA-ROMEO,159 SW 1.9 JTD (150ch) M-JET Qtronic,MAL7604MU677,9,110.0,A 6,10.1,5.6,7.2,190,GO,E
ALFA-ROMEO,159 SW 1.9L JTS,MAL1704MJ638,10,118.0,M 6,12.4,6.7,8.8,209,ES,F
ALFA-ROMEO,159 SW 2.2L JTS,MAL1804MU639,12,136.0,M 6,13.2,7.3,9.5,224,ES,F
ALFA-ROMEO,159 SW 2.2L JTS SELESPEED,MAL1804MD683,12,136.0,M 6,13.0,7.1,9.3,219,ES,F
ALFA-ROMEO,159 SW 2.4 JTD M-JET,MAL5804M8641,12,147.0,M 6,9.4,5.6,7.0,185,GO,E
ALFA-ROMEO,159 SW 2.4 JTD M-JET 210,MAL6904M8714,13,154.0,M 6,10.2,6.0,7.6,199,GO,E
ALFA-ROMEO,159 SW 2.4 JTD M-JET Qtronic,MAL7804MQ678,13,147.0,A 6,11.8,6.0,8.1,215,GO,F
ALFA-ROMEO,159 SW 3.2L V6 JTS Q4,MAL2904MM679,18,191.0,M 6,17.1,8.5,11.6,275,ES,G
ALFA-ROMEO,159 SW 3.2L V6 JTS Q4 Qtronic,MAL4904M8684,19,191.0,A 6,18.6,8.6,12.3,291,ES,G
