marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(_),type_2
DAIHATSU,CUORE II BVM5,MJD1102JU185,4.0,51.0,M 5,5.5,3.8,4.4,104.0,ES,B,-700,MJD1102J
TOYOTA,PRIUS (75ch) VVT-i,MJT9162TM872,4.0,57.0,V 0,5.0,4.2,4.3,104.0,ES,B,-2000,MJT9162T
TOYOTA,PRIUS (75ch) VVT-i,MJT9172TT515,4.0,57.0,V 0,5.0,4.2,4.3,104.0,ES,B,-2000,MJT9172T
CITROEN,C1 3P 1.0i,MCT1011TN299,4.0,50.0,M 5,5.5,4.1,4.6,108.0,ES,B,-700,MCT1011T
CITROEN,C1 3P 1.0i SensoDrive,MCT3011TU300,4.0,50.0,A 5,5.5,4.1,4.6,108.0,ES,B,-700,MCT3011T
CITROEN,C1 5P 1.0i,MCT1012TR301,4.0,50.0,M 5,5.5,4.1,4.6,108.0,ES,B,-700,MCT1012T
PEUGEOT,107 3P 1.0e 12V,MPE1011S4633,4.0,50.0,M 5,5.5,4.1,4.6,108.0,ES,B,-700,MPE1011S
PEUGEOT,107 3P 1.0e 12V 2-tronic,MPE3011SB634,4.0,50.0,A 5,5.5,4.1,4.6,108.0,ES,B,-700,MPE3011S
PEUGEOT,107 5P 1.0e 12V,MPE1012S8635,4.0,50.0,M 5,5.5,4.1,4.6,108.0,ES,B,-700,MPE1012S
TOYOTA,AYGO 3P 1.0 VVT-i,MJT1071V7879,4.0,50.0,M 5,5.5,4.1,4.6,108.0,ES,B,-700,MJT1071V
TOYOTA,AYGO 3P 1.0 VVT-i,MJT1071V8880,4.0,50.0,M 5,5.5,4.1,4.6,108.0,ES,B,-700,MJT1071V
TOYOTA,AYGO 3P 1.0 VVT-i,MJT3071VC878,4.0,50.0,A 5,5.5,4.1,4.6,108.0,ES,B,-700,MJT3071V
