marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex_urb,mixte,co2,carburant,etiquette_energie,bonus_malus
ALFA-ROMEO,MiTo 1.4 MPI (78ch),MAL1101P0804,5,58.0,M 6,7.7,4.8,5.9,138,ES,C,-
ALFA-ROMEO,MiTo 1.4 MPI (78ch),MAL1101PZ803,5,58.0,M 6,7.7,4.8,5.9,138,ES,C,-
ALFA-ROMEO,147 3P 1.6L TS (105ch),MAL1301JZ595,7,77.0,M 5,11.3,6.4,8.2,196,ES,E,+ 750
ALFA-ROMEO,147 5P 1.6TS (105ch),MAL1302JD607,7,77.0,M 5,11.3,6.4,8.2,196,ES,E,+ 750
ALFA-ROMEO,147 3P 1.6L TS (120ch),MAL1401JB597,8,88.0,M 5,11.2,6.4,8.2,194,ES,E,+ 750
ALFA-ROMEO,147 5P 1.6TS (120ch),MAL1402JP609,8,88.0,M 5,11.2,6.4,8.2,194,ES,E,+ 750
ALFA-ROMEO,147 3P 2.0L SELESPEED,MAL1601JX599,10,110.0,M 5,12.1,7.0,8.9,211,ES,F,+ 1600
ALFA-ROMEO,GT 1.8L,MAL1601K6510,9,103.0,M 5,12.1,6.4,8.5,202,ES,F,+ 1600
ALFA-ROMEO,147 5P 2.0L SELESPEED,MAL1602JB611,10,110.0,M 5,12.1,7.0,8.9,211,ES,F,+ 1600
ALFA-ROMEO,159 1.8 MPI,MAL1602MP754,9,103.0,M 5,10.3,6.0,7.6,179,ES,E,+ 750
ALFA-ROMEO,159 SW 1.8L MPI,MAL1604MC774,9,103.0,M 5,10.7,6.1,7.8,183,ES,E,+ 750
ALFA-ROMEO,GT COUPE 2.0L JTS SELESPEED,MAL1701K5499,11,122.0,M 5,12.2,6.7,8.7,207,ES,F,+ 1600
ALFA-ROMEO,GT COUPE 2.0L JTS,MAL1701K6500,11,122.0,M 5,12.2,6.7,8.7,207,ES,F,+ 1600
ALFA-ROMEO,MiTo 1.4 T-jet (155ch),MAL1701PL801,9,114.0,M 6,8.5,5.3,6.5,153,ES,D,-
ALFA-ROMEO,MiTo 1.4 T-jet (155ch),MAL1701PM802,9,114.0,M 6,8.5,5.3,6.5,153,ES,D,-
ALFA-ROMEO,BRERA 2.2L JTS SELESPEED,MAL1801N5777,12,136.0,M 6,12.6,7.1,9.1,214,ES,F,+ 1600
ALFA-ROMEO,BRERA 2.2L JTS SELESPEED,MAL1801N6778,12,136.0,M 6,12.6,7.1,9.1,214,ES,F,+ 1600
ALFA-ROMEO,BRERA 2.2L JTS,MAL1801N7779,12,136.0,M 6,12.7,7.2,9.2,218,ES,F,+ 1600
ALFA-ROMEO,BRERA 2.2L JTS,MAL1801N8780,12,136.0,M 6,12.7,7.2,9.2,218,ES,F,+ 1600
ALFA-ROMEO,159 2.2L JTS SELESPEED,MAL1802MS738,12,136.0,M 6,12.6,7.1,9.1,214,ES,F,+ 1600
ALFA-ROMEO,159 2.2L JTS SELESPEED TI,MAL1802MT739,12,136.0,M 6,12.6,7.1,9.1,214,ES,F,+ 1600
ALFA-ROMEO,159 SW 2.2L JTS SELESPEED,MAL1804MG758,12,136.0,M 6,12.8,7.1,9.2,216,ES,F,+ 1600
ALFA-ROMEO,159 SW 2.2L JTS SELESPEED TI,MAL1804MH759,12,136.0,M 6,12.8,7.1,9.2,216,ES,F,+ 1600
ALFA-ROMEO,SPIDER 2.2 JTS  SELESPEED,MAL1805FE786,12,136.0,M 6,12.6,7.1,9.1,214,ES,F,+ 1600
ALFA-ROMEO,SPIDER 2.2 JTS  SELESPEED,MAL1805FF787,12,136.0,M 6,12.6,7.1,9.1,214,ES,F,+ 1600
ALFA-ROMEO,SPIDER 2.2L JTS,MAL1805FG788,12,136.0,M 6,12.8,7.1,9.2,218,ES,F,+ 1600
ALFA-ROMEO,SPIDER 2.2L JTS,MAL1805FH789,12,136.0,M 6,12.8,7.1,9.2,218,ES,F,+ 1600
ALFA-ROMEO,BRERA 3.2 V6 JTS,MAL1901NK782,18,191.0,M 6,16.4,7.9,11.0,260,ES,G,+ 2600
ALFA-ROMEO,8C COMPETIZIONE,MAL1901NV732,38,331.0,M 6,23.6,11.4,15.8,377,ES,G,+ 2600
ALFA-ROMEO,159 3.2L V6 JTS,MAL1902ME750,18,191.0,M 6,16.4,7.9,11.0,260,ES,G,+ 2600
ALFA-ROMEO,159 SW 3.2L V6 JTS,MAL1904M2770,18,191.0,M 6,16.5,7.9,11.1,262,ES,G,+ 2600
ALFA-ROMEO,SPIDER 3.2 V6 JTS,MAL1905FT791,18,191.0,M 6,16.5,7.9,11.1,262,ES,G,+ 2600
ALFA-ROMEO,BRERA 3.2 V6 JTS Q4,MAL2901NP784,18,191.0,M 6,16.7,8.3,11.4,270,ES,G,+ 2600
ALFA-ROMEO,159 3.2L V6 JTS Q4,MAL2902MJ752,18,191.0,M 6,16.7,8.3,11.4,270,ES,G,+ 2600
ALFA-ROMEO,159 SW 3.2L V6 JTS Q4,MAL2904M7772,18,191.0,M 6,17.0,8.3,11.5,272,ES,G,+ 2600
ALFA-ROMEO,SPIDER 3.2 V6 JTS,MAL2905FY793,18,191.0,M 6,16.9,8.4,11.5,272,ES,G,+ 2600
ALFA-ROMEO,BRERA 3.2 V6 JTS Qtronic,MAL4901N5783,19,191.0,A 6,18.2,8.5,12.1,286,ES,G,+ 2600
ALFA-ROMEO,159 3.2L V6 JTS Q4 Qtronic,MAL4902MZ751,19,191.0,A 6,18.2,8.5,12.2,286,ES,G,+ 2600
ALFA-ROMEO,159 SW 3.2L V6 JTS Q4 Qtronic,MAL4904MN771,19,191.0,A 6,18.3,8.6,12.2,288,ES,G,+ 2600
ALFA-ROMEO,SPIDER 3.2 V6 JTS Qtronic,MAL4905FE792,19,191.0,A 6,18.4,8.6,12.2,288,ES,G,+ 2600
ALFA-ROMEO,147 3P JTD (120ch) M-JET,MAL5401JF819,7,88.0,M 5,7.4,4.4,5.5,145,GO,D,-
ALFA-ROMEO,147 3P JTD (120ch) M-JET,MAL5401JG820,7,88.0,M 5,7.4,4.4,5.5,145,GO,D,-
ALFA-ROMEO,MiTo 1.6 JTDm (120ch),MAL5401P7805,6,88.0,M 6,5.9,4.1,4.8,126,GO,C,-200
ALFA-ROMEO,MiTo 1.6 JTDm (120ch),MAL5401P8806,6,88.0,M 6,5.9,4.1,4.8,126,GO,C,-200
ALFA-ROMEO,147 5P JTD (120ch) M-JET,MAL5402JP827,7,88.0,M 5,7.4,4.4,5.5,145,GO,D,-
ALFA-ROMEO,147 5P JTD (120ch) M-JET,MAL5402JQ828,7,88.0,M 5,7.4,4.4,5.5,145,GO,D,-
ALFA-ROMEO,159 1.9 JTD (120ch),MAL5402M9747,7,88.0,M 6,7.8,4.8,5.9,157,GO,D,-
ALFA-ROMEO,159 SW 1.9 JTD (120ch) M-JET,MAL5404MX767,7,88.0,M 6,7.9,4.9,6.0,159,GO,D,-
ALFA-ROMEO,147 3P JTD (150ch) M-JET,MAL5601JV815,8,110.0,M 6,7.8,4.5,5.7,151,GO,D,-
ALFA-ROMEO,147 3P JTD (150ch) M-JET,MAL5601JW816,8,110.0,M 6,7.8,4.5,5.7,151,GO,D,-
ALFA-ROMEO,GT COUPE JTD (150ch) M-JET,MAL5601KC831,9,110.0,M 6,8.2,4.8,6.1,159,GO,D,-
ALFA-ROMEO,GT COUPE JTD (150ch) M-JET (DPF),MAL5601KD832,9,110.0,M 6,8.2,4.8,6.1,159,GO,D,-
ALFA-ROMEO,147 5P JTD (150ch) M-JET,MAL5602J5823,8,110.0,M 6,7.8,4.5,5.7,151,GO,D,-
ALFA-ROMEO,147 5P JTD (150ch) M-JET,MAL5602J6824,8,110.0,M 6,7.8,4.5,5.7,151,GO,D,-
ALFA-ROMEO,159 1.9 JTD (150ch),MAL5602MQ744,9,110.0,M 6,7.9,4.8,5.9,157,GO,D,-
ALFA-ROMEO,159 1.9 JTD (150ch) TI,MAL5602MR745,9,110.0,M 6,7.9,4.8,5.9,157,GO,D,-
ALFA-ROMEO,159 SW 1.9 JTD (150ch) M-JET,MAL5604ME764,9,110.0,M 6,8.0,4.8,6.0,159,GO,D,-
ALFA-ROMEO,159 SW 1.9 JTD (150ch) M-JET TI,MAL5604MF765,9,110.0,M 6,8.0,4.8,6.0,159,GO,D,-
ALFA-ROMEO,GT COUPE JTD (170ch) M-JET (DPF),MAL5701K4813,10,125.0,M 6,8.7,4.8,6.2,164,GO,E,+ 200
ALFA-ROMEO,GT COUPE JTD (170ch) M-JET,MAL5701KP797,10,125.0,M 6,8.7,4.8,6.2,164,GO,E,+ 200
ALFA-ROMEO,BRERA 2.4 JTD (210ch),MAL5901NA785,13,154.0,M 6,9.2,5.4,6.8,179,GO,E,+ 750
ALFA-ROMEO,159 2.4 JTD M-JET (210ch),MAL5902M6755,13,154.0,M 6,9.2,5.4,6.8,179,GO,E,+ 750
ALFA-ROMEO,159 SW 2.4 JTD M-JET,MAL5904MU775,13,154.0,M 6,9.2,5.5,6.9,181,GO,E,+ 750
ALFA-ROMEO,SPIDER 2.4 JTD M-JET,MAL5905FJ794,13,154.0,M 6,9.2,5.4,6.8,179,GO,E,+ 750
ALFA-ROMEO,159 2.4 JTD M-JET (210ch),MAL6902MA756,13,154.0,M 6,9.7,5.8,7.2,192,GO,E,+ 750
ALFA-ROMEO,159 SW 2.4 JTD M-JET Q4,MAL6904M9776,13,154.0,M 6,9.9,5.9,7.4,194,GO,E,+ 750
ALFA-ROMEO,159 1.9 JTD (150ch) Qtronic,MAL7602MU742,9,110.0,A 6,9.9,5.5,7.1,187,GO,E,+ 750
ALFA-ROMEO,159 1.9 JTD (150ch) Qtronic TI,MAL7602MV743,9,110.0,A 6,9.9,5.5,7.1,187,GO,E,+ 750
ALFA-ROMEO,159 SW 1.9 JTD (150ch) M-JET Qtronic,MAL7604MJ762,9,110.0,A 6,10.0,5.6,7.2,190,GO,E,+ 750
ALFA-ROMEO,159 SW 1.9 JTD (150ch) M-JET Qtronic TI,MAL7604MJ763,9,110.0,A 6,10.0,5.6,7.2,190,GO,E,+ 750
ALFA-ROMEO,BRERA 2.4 JTD Qtronic,MAL7801N2781,13,147.0,A 6,11.4,5.8,7.9,208,GO,F,+ 1600
ALFA-ROMEO,159 2.4JTD Qtronic,MAL7802MT746,13,147.0,A 6,11.4,5.8,7.9,208,GO,F,+ 1600
ALFA-ROMEO,159 SW 2.4 JTD M-JET Qtronic,MAL7804MH766,13,147.0,A 6,11.6,5.9,8.0,210,GO,F,+ 1600
ALFA-ROMEO,SPIDER 2.4 JTD M-JET Qtronic,MAL7805FB790,13,147.0,A 6,11.4,5.8,7.9,208,GO,F,+ 1600
ASTON MARTIN,V8 VANTAGE,MAM1901CC141,33,298.0,M 6,22.5,10.6,15.0,358,ES,G,+ 2600
ASTON MARTIN,V8 VANTAGE,MAM1901CD142,33,298.0,M 6,22.5,10.6,15.0,358,ES,G,+ 2600
ASTON MARTIN,V8 VANTAGE,MAM1901CS157,34,313.0,M 6,19.9,10.4,13.9,328,ES,G,+ 2600
ASTON MARTIN,V8 VANTAGE,MAM1901CV160,34,313.0,M 6,19.9,10.4,13.9,328,ES,G,+ 2600
ASTON MARTIN,DB9,MAM1901JP146,41,350.0,M 6,24.6,11.7,16.4,389,ES,G,+ 2600
ASTON MARTIN,DB9,MAM1901JP147,41,350.0,M 6,24.6,11.7,16.4,389,ES,G,+ 2600
ASTON MARTIN,DBS,MAM1901K6163,45,380.0,M 6,24.3,11.7,16.4,388,ES,G,+ 2600
ASTON MARTIN,DBS,MAM1901K7164,45,380.0,M 6,24.3,11.7,16.4,388,ES,G,+ 2600
ASTON MARTIN,DBS,MAM1901KE135,45,380.0,M 6,24.3,11.7,16.4,388,ES,G,+ 2600
ASTON MARTIN,DBS,MAM1901KF136,45,380.0,M 6,24.3,11.7,16.4,388,ES,G,+ 2600
ASTON MARTIN,V8 VANTAGE ROADSTER,MAM1905CG137,33,298.0,M 6,22.5,10.6,15.0,358,ES,G,+ 2600
ASTON MARTIN,V8 VANTAGE ROADSTER,MAM1905CH138,33,298.0,M 6,22.5,10.6,15.0,358,ES,G,+ 2600
ASTON MARTIN,V8 VANTAGE ROADSTER,MAM1905CW153,34,313.0,M 6,19.9,10.4,13.9,328,ES,G,+ 2600
