marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(+)
SMART,SMART FORTWO COUPE ELECTRIC,M10SMTVP000E039,5,,M 1,,,,,EL,A,-5000
SMART,SMART FORTWO Cabrio ELECTRIC,M10SMTVP000F040,5,,M 1,,,,,EL,A,-5000
ALFA-ROMEO,MiTo 1.4 MPI (105ch) MultiAir,M10ALFVP0002035,6,77.0,M 6,7.6,4.8,5.8,136.0,ES,C,-
ALFA-ROMEO,GT COUPE 2.0L JTS,M10ALFVP0002132,11,122.0,M 5,12.2,6.7,8.7,207.0,ES,F,+ 1600
ALFA-ROMEO,GT COUPE 2.0L JTS,M10ALFVP0003133,11,122.0,M 5,12.2,6.7,8.7,207.0,ES,F,+ 1600
ALFA-ROMEO,MiTo 1.4 TB (135ch)  MultiAir,M10ALFVP0004037,7,99.0,M 5,7.4,4.5,5.6,129.0,ES,C,-
ALFA-ROMEO,ALFA 8C SPIDER,M10ALFVP0006039,38,331.0,M 6,24.4,11.6,16.3,379.0,ES,G,+ 2600
ALFA-ROMEO,GT 1.8L,M10ALFVP000K150,9,103.0,M 5,12.1,6.4,8.5,202.0,ES,F,+ 1600
ALFA-ROMEO,GT 1.8L,M10ALFVP000L151,9,103.0,M 5,12.1,6.4,8.5,202.0,ES,F,+ 1600
ALFA-ROMEO,147 1.6L TS (105ch),M10ALFVP000M091,7,77.0,M 5,11.3,6.4,8.2,196.0,ES,E,+ 1600
ALFA-ROMEO,147 1.6L TS (120ch),M10ALFVP000P093,8,88.0,M 5,11.2,6.4,8.2,194.0,ES,E,+ 750
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP0007002,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP0008003,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP0009004,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP000A005,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BREAK BVA7,M10AMGVP000B006,44,386.0,A 7,18.8,9.3,12.8,299.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BREAK BVA7,M10AMGVP000C007,44,386.0,A 7,18.8,9.3,12.8,299.0,ES,G,+ 2600
